Date,Close,High,Low,Open,Volume
2025-06-30,352.26751708984375,352.82312603597677,346.3244694633048,346.61220525704334,7080100
2025-07-01,352.6842346191406,354.2022430209509,348.6659859903535,351.0471714843909,6653400
2025-07-02,351.44403076171875,353.567244149228,347.25710107476635,351.821057601718,5131400
2025-07-03,356.047607421875,356.1865247785464,350.8387515581219,351.8110822195843,3702800
2025-07-07,353.8450927734375,356.841414691411,351.7119177033068,356.10722362372616,5138000
2025-07-08,351.77142333984375,355.4722026908787,350.48162339060764,353.8847356375311,6966800
2025-07-09,354.9562683105469,354.9562683105469,350.9776847253452,352.28734723976163,7297100
2025-07-10,353.09100341796875,354.81735749620714,350.6800543890329,354.0335401813594,6121300
2025-07-11,345.20330810546875,351.03723211303384,341.6910724506413,349.747432164549,7580200
2025-07-14,347.7532043457031,349.2116854723553,342.30623802379006,344.6675913029811,5598900
2025-07-15,344.3004150390625,347.4654176306237,344.04247323214094,345.3918004634653,4891700
2025-07-16,347.1578369140625,347.9218218226459,343.0899624497605,344.568305948555,5544200
2025-07-17,347.06854248046875,348.61631436438563,345.74897899064166,347.25705587593154,4747100
2025-07-18,346.31451416015625,346.7609996616444,344.4393416664182,346.7609996616444,4927600
2025-07-21,348.189697265625,350.87845060742626,345.669594683543,346.32442591881215,5216300
2025-07-22,349.10247802734375,351.7019706655247,347.4555140009124,348.348454694803,4614200
2025-07-23,352.5056457519531,352.99179599492754,348.45760323923344,350.2335837139262,4385600
2025-07-24,351.19598388671875,354.3808190519768,351.08683019778255,352.03932860182005,5887200
2025-07-25,354.241943359375,354.8471483537365,350.24352703305897,351.22575887301724,3915400
2025-07-28,352.6842346191406,355.51190564011716,351.9500435804033,353.587106715153,3921000
2025-07-29,348.5369567871094,355.51186162685207,348.0607076358962,353.4977719015327,7402300
2025-07-30,348.1599426269531,353.825185215234,344.5087898370734,348.9437599214286,12129700
2025-07-31,342.7625732421875,350.0549777823355,342.38554643517915,346.1954489487554,8641700
2025-08-01,336.6905517578125,343.45711132075263,335.4503478912215,341.40332645085834,8658700
