Date,Open,Close,High,Low,Volume
2019-01-02,220.04873678437622,223.80596923828125,224.7273989963419,220.02190048222155,126925200
2019-01-03,222.06150186504593,218.46530151367188,222.36566931905944,217.98222086036947,144140700
2019-01-04,221.48898887122783,225.78297424316406,226.42707273146465,221.11326702808634,142628800
2019-01-07,226.05135993790628,227.56320190429688,228.967685018204,225.1567801850317,103139100
2019-01-08,229.74597827796512,229.70123291015625,230.18431361996602,227.22325682723428,102512600
2019-01-09,230.40795353099523,230.7747344970703,231.61564162896792,229.18238366653358,95006600
2019-01-10,229.2449965104731,231.5887908935547,231.8392721108213,228.56510722057578,96823900
2019-01-11,230.5152680383381,231.67823791503906,231.70507421140275,229.9337967501892,73858100
2019-01-14,229.78173558745547,230.2648162841797,231.0699325784489,229.37919109052422,70908200
2019-01-15,230.64055347725395,232.90383911132812,233.2169474781809,230.6315989437874,85208300
2019-01-16,233.3331831885252,233.46739196777344,234.35301702855713,233.12744735442945,77636700
2019-01-17,232.59965398203775,235.2386474609375,236.09746354596547,232.55490862113237,96118400
2019-01-18,237.04575985726618,238.36972045898438,238.83491941669797,235.2744820652817,127900300
2019-01-22,236.90262700516908,235.14923095703125,237.11731741906,233.53899825203223,115531200
2019-01-23,236.17801920347108,235.64126586914062,236.87579034797807,233.18117144550067,86030300
2019-01-24,235.462279939407,235.7664337158203,236.3479322740829,234.4514006616912,59204100
2019-01-25,237.60933824799548,237.7614288330078,238.58445429816075,235.86492393987604,96883400
2019-01-28,235.62341653832786,235.95440673828125,236.01700658391746,234.19208321653988,85613700
2019-01-29,236.09751029838282,235.64126586914062,236.6610726340007,234.80931321615319,66136300
2019-01-30,237.15308758964215,239.3716278076172,240.21253492262588,236.3926893728271,92473700
2019-01-31,239.30903974505677,241.47390747070312,241.95698818402894,239.0943220389077,104012100
2019-02-01,241.67065780851223,241.59014892578125,242.60998270784233,240.8029145607659,85782500
2019-02-04,241.63495404193895,243.28993225097656,243.3525593935762,240.96401914371378,60744800
2019-02-05,243.71932746285626,244.30975341796875,244.61390727961893,243.2183649495019,79552800
2019-02-06,244.0324162659288,243.9876708984375,244.52442420548215,243.25413625589732,58347800
2019-02-07,242.37745713067275,241.66180419921875,242.9231377133348,240.00682608227083,95482000
2019-02-08,240.41829205368393,241.95697021484375,242.05536087669893,239.59526672545192,75788900
