Date,Close,High,Low,Open,Volume
2021-01-04,134.28733825683594,135.04244057866282,132.2537258864282,134.92231185410392,11765900
2021-01-05,135.86622619628906,136.22661250135238,133.06035858692746,134.0728706211929,9602300
2021-01-06,137.14471435546875,137.48793557832317,134.47612810466683,134.9223261688179,8230100
2021-01-07,137.60804748535156,138.1743742175416,135.87476350096202,136.43250119314845,7747200
2021-01-08,137.32489013671875,138.23445118269026,137.18760951418193,137.72818224309734,8228900
2021-01-11,136.75003051757812,138.42327038073486,136.23519856149824,137.7711315727588,7066200
2021-01-12,135.68603515625,136.99887561502658,134.99957946249117,136.56125340006548,6903200
2021-01-13,135.48007202148438,135.96917604096916,134.50187707556594,135.77181138764135,6643100
2021-01-14,137.84829711914062,138.96378553335103,136.95591424360114,137.67668653842705,10030800
2021-01-15,137.54800415039062,138.5004580845947,136.52690335417498,137.54800415039062,7630800
2021-01-19,139.67601013183594,139.8991026225803,138.2344652506249,139.00671956655216,9057600
2021-01-20,139.33282470703125,140.8430168411138,138.83514462927525,140.03643233899385,6839900
2021-01-21,138.77505493164062,139.4186046376214,137.34208582415636,138.42325770975754,6818000
2021-01-22,140.3367462158203,141.71823348482832,138.89518802104763,139.31564522224232,8137000
2021-01-25,142.4218292236328,142.51621703267762,140.4311223779404,141.5895039328883,9924400
2021-01-26,146.2831268310547,149.00319520167542,145.34783778520165,145.61383622089824,14205700
2021-01-27,144.05218505859375,146.66070103842455,143.68320971450424,145.11617896803952,14207300
2021-01-28,145.15048217773438,146.6091921055901,143.98351161683954,144.32673286114047,8944400
2021-01-29,139.97637939453125,142.43902583209177,137.76256645802255,140.9459855466172,22505900
2021-02-01,139.61593627929688,141.8469002097603,139.52154848769328,141.8469002097603,9971400
2021-02-02,138.36317443847656,140.43111711815288,138.30310351994726,140.1908596301379,11443300
2021-02-03,137.71963500976562,138.59486626279815,136.92163967100956,138.09718625982092,8601900
2021-02-04,138.9981231689453,139.08392191750858,137.08462646399695,138.14863307196177,7758100
2021-02-05,141.10899353027344,141.9584838393173,140.60273758031136,141.46080383843773,9495300
2021-02-08,141.51223754882812,142.37030351487223,140.61985470508318,141.60662532881489,6035300
2021-02-09,142.67068481445312,142.94525921715316,141.55519602580043,141.75254760521474,5544200
2021-02-10,143.13400268554688,144.10362155910602,142.18154879987847,144.06071563590393,5921300
2021-02-11,142.49050903320312,143.6231630035798,142.09580580817217,143.2970935709463,4871300
2021-02-12,142.93667602539062,143.16835757656122,140.72286355200387,141.06608481125144,4413100
2021-02-16,141.6409912109375,143.3399585884043,141.27201594360454,142.9366664346699,5656100
2021-02-17,142.1472625732422,142.51622478764318,141.03177379466442,141.55519474729425,6676700
2021-02-18,142.21588134765625,142.57626754158227,140.9802640581672,141.54659083135797,5189100
2021-02-19,139.84765625,142.40470351323552,139.78759841122817,142.09579908983378,8190900
2021-02-22,139.7613067626953,140.33979457665131,138.39710631012974,139.7613067626953,6447100
2021-02-23,138.526611328125,140.9010078337064,138.49206727385013,139.42455911882385,7042800
2021-02-24,140.38294982910156,141.9371028754059,138.94104519507638,140.2188985110616,10286100
2021-02-25,140.5297393798828,141.34135342857783,139.86491780782177,140.8492126132249,9719700
2021-02-26,136.8170166015625,140.22750994465332,136.39393767405656,139.8735059343745,14417500
2021-03-01,137.55958557128906,139.4677295249733,137.36099020032756,139.3986545926427,10551400
2021-03-02,137.30055236816406,138.8201612944692,136.9379188689786,137.9567444369717,7610900
2021-03-03,134.8829803466797,137.19693116342532,134.7448304897916,136.63571548502378,8499600
2021-03-04,132.1632080078125,134.7793597016151,130.7817359404283,134.68438333229875,11033200
2021-03-05,134.7794189453125,135.28883188888426,132.21506902127862,132.94896567522952,8331600
2021-03-08,135.90182495117188,137.56822654360678,134.6757744424666,135.55646343522858,6546700
2021-03-09,136.1608123779297,138.79423597538738,135.4614469515723,135.4614469515723,7461300
2021-03-10,137.41278076171875,138.06034337261224,135.86727046058544,137.12786480665724,6635600
2021-03-11,137.40414428710938,138.6906400176392,137.21419154368365,137.74950572532288,6305600
2021-03-12,137.8013458251953,138.41436446111376,137.4473417257513,137.52504608669366,5474800
2021-03-15,138.5093231201172,138.71654789746856,136.8515644253913,137.93083543820984,5524100
2021-03-16,139.32957458496094,139.59723170380684,138.35392249123515,138.54387525455078,6369100
2021-03-17,138.81150817871094,139.64038084262052,137.74086671524316,138.8633110733686,6001400
2021-03-18,138.5525360107422,139.43322509665353,138.11219805513588,138.3280523191054,4801800
2021-03-19,138.18121337890625,139.4418076536312,137.6890726733227,138.74244218139998,14891500
2021-03-22,138.57838439941406,138.7078916383211,136.4198425863391,136.6874996632094,7544100
2021-03-23,138.4488983154297,139.182794739198,137.17967448142934,138.32802048241516,7178300
2021-03-24,139.7958526611328,140.287993510954,137.99131425395817,138.2330699652209,6370100
2021-03-25,139.84765625,140.26209273206734,138.69931002860457,140.2534633047299,6269800
2021-03-26,142.40333557128906,142.55012803037124,139.33821627579576,139.95123486501615,7619200
2021-03-29,143.36172485351562,144.21651225928161,141.28090030312205,141.4535810344205,8535100
2021-03-30,142.472412109375,143.03364097627946,141.79894800884628,142.48105470982782,7236300
2021-03-31,141.902587890625,142.80053576534652,141.3413589410635,142.42927278267925,8281500
2021-04-01,140.5901641845703,141.46221044106366,140.09801026700498,140.39158200233823,7229700
2021-04-05,141.1082000732422,142.24791656318612,140.44337862880295,141.28952339653137,7387100
2021-04-06,141.07369995117188,142.04936535527708,140.736967855683,141.66945977581318,5074200
2021-04-07,141.26361083984375,141.8420984643668,141.01322578657312,141.21180794431837,4608000
2021-04-08,140.71107482910156,141.69536971908389,140.60746900111343,141.60039331852866,5039400
2021-04-09,139.2259979248047,140.67653223049155,137.95677381997942,139.97716653491406,8418300
2021-04-12,139.56271362304688,139.94261918451247,138.44026896636134,139.08783167121487,5022800
2021-04-13,137.69773864746094,138.08627366019738,135.15066114763556,135.43559033689505,18424100
2021-04-14,138.07763671875,138.2416880467925,136.02270016697076,136.2730984596768,7718300
2021-04-15,138.48341369628906,140.2102472173724,138.3452638526758,138.76834280823113,7524600
2021-04-16,140.0807647705078,140.3138778513403,138.63021750517845,139.3036816436432,9049400
2021-04-19,140.4692840576172,140.83191753977295,138.87195767638084,140.3052327544454,8353500
2021-04-20,143.74163818359375,144.87271218600392,139.01011738030928,139.01011738030928,14050700
2021-04-21,143.8366241455078,144.11292388876552,142.71417949424293,143.64667136569236,6333200
2021-04-22,142.6192169189453,143.56898091002012,142.13570549610657,143.1890753135902,7233000
2021-04-23,142.91278076171875,143.37902012929916,141.6003832765815,142.057993217341,6015300
2021-04-26,141.70399475097656,142.8178100660928,141.3931641019555,142.64512929990286,6027800
2021-04-27,140.89234924316406,141.52265300253146,140.27933068366895,141.39313257574452,6217700
2021-04-28,139.8562774658203,140.90964722586338,139.57134828403514,140.61608861724744,7448000
2021-04-29,141.7730712890625,141.82487420203307,139.70950514931252,139.7872095187684,6394300
2021-04-30,140.5038299560547,141.88530228076002,140.3225197829387,141.72988038624982,9079100
2021-05-03,142.64508056640625,142.74005693156752,140.84052962834207,141.25497913524225,6594100
2021-05-04,144.85549926757812,144.92457422069623,142.17890082672676,142.317050732963,10179500
2021-05-05,144.25106811523438,145.3994010009565,144.00929926199686,144.6223310591738,7792300
2021-05-06,144.82957458496094,144.95908186710454,143.53444906473257,144.00931788239117,5529900
2021-05-07,145.48573303222656,146.07285014138134,144.90724534831406,145.31305230451605,5316200
2021-05-10,147.0139923095703,148.10189280930643,146.11603139814417,146.69451911286308,8357500
2021-05-11,145.81385803222656,147.5320493226758,145.29580259483356,147.3420965406115,8217900
2021-05-12,145.22671508789062,146.60818735156522,145.01086087010995,145.5202736621453,6758300
2021-05-13,146.74630737304688,147.3852272959524,144.16468671045394,144.16468671045394,8018600
2021-05-14,146.97084045410156,148.17098953800647,146.92766696984935,148.05874111389022,5797700
2021-05-17,147.1175994873047,148.41272478821108,147.0485245569595,147.1262289130869,5722600
2021-05-18,147.1693878173828,147.96372967564585,146.37504595911977,146.76358087597637,5846000
2021-05-19,146.84996032714844,146.91903526594194,145.0885823246576,146.70318102272378,5533800
2021-05-20,147.7047119140625,148.1536791448718,146.5131925656737,146.72904675634157,4853200
2021-05-21,147.6097412109375,149.14662205352863,147.5320236865453,147.92920120949006,6501800
2021-05-24,148.17445373535156,148.86949925314528,147.4967880011476,148.478527035274,5195100
2021-05-25,147.76617431640625,148.59153540026517,147.4707841612392,148.27876545453069,7444700
2021-05-26,146.888671875,147.76615898260792,146.20230941621722,147.6966530844467,5726400
2021-05-27,146.6627655029297,147.84433918626914,146.2891862369612,147.05372455660878,8114700
2021-05-28,147.04502868652344,148.57411845163904,146.97552279853284,147.27960940138018,6400800
2021-06-01,143.81307983398438,147.87039164723797,143.6827645777239,147.82694880952022,10448400
2021-06-02,144.39517211914062,144.85563701904877,143.4481792689063,143.61325409281534,6806000
2021-06-03,144.2561492919922,145.22052185424073,143.96945575936195,144.12583404988754,5808800
2021-06-04,144.19534301757812,145.58543416194016,144.10845734972114,145.09889298158927,6510300
2021-06-07,143.213623046875,144.49946228619868,143.03118166275257,144.22143869167638,5362800
2021-06-08,141.95384216308594,143.9260303594638,140.80702812298256,143.595880696954,7746800
2021-06-09,143.8651885986328,144.03026340793068,142.1884039713255,142.47511075743896,5552600
2021-06-10,145.15972900390625,145.59413086951875,144.17797654541624,144.22141938335605,6463100
2021-06-11,143.31784057617188,145.15969987455537,142.67492117159924,145.15101661146704,7389900
2021-06-14,143.674072265625,143.75227467856539,142.39692968928162,142.91821724338254,4931300
2021-06-15,142.90951538085938,144.09977212432787,142.82262971418498,143.5524215894405,5062900
2021-06-16,142.85739135742188,144.0042186475161,142.03203046300774,143.178857753102,6988500
2021-06-17,143.5437469482422,143.96076900816863,142.0494035385392,142.64888020668533,5874700
2021-06-18,140.72882080078125,142.64888282700505,140.56374597528645,141.84958500709197,12993000
2021-06-21,142.34481811523438,142.70971413759486,140.96342318982087,141.4152048990315,6592300
2021-06-22,142.1536407470703,142.51853666813372,141.8582507048129,142.23184314628386,5627800
2021-06-23,141.29354858398438,142.21447837582687,141.16322007613036,142.21447837582687,4493400
2021-06-24,141.9364471435547,142.65755575923436,141.44123595982984,141.84957473324954,4549200
2021-06-25,142.66624450683594,143.16145566357895,141.51941739540447,141.56286022663582,10963800
2021-06-28,142.50115966796875,143.41340603202715,142.0667579000257,142.86605556221414,5604000
2021-06-29,142.5098419189453,143.03981260234832,141.97118797272543,142.48377887360496,3749500
2021-06-30,143.12672424316406,143.32654537934798,142.1970979342832,142.4838047419691,6151700
2021-07-01,144.18667602539062,144.23010560732862,143.0311654483268,143.12673439099802,6320200
2021-07-02,146.8104248046875,147.08844831277727,143.9086240376757,144.23877363930967,9059900
2021-07-06,145.93295288085938,146.70618761354777,145.08152899986237,145.88082678198697,6098500
2021-07-07,147.1840057373047,147.26219487151218,145.5072080702589,145.5072080702589,6293500
2021-07-08,146.89735412597656,147.22750382573753,145.59414837247098,146.56720442621557,5755500
2021-07-09,147.47946166992188,148.01811584441845,147.03637645447102,147.1493119465102,6120900
2021-07-12,147.2448272705078,148.72179070757755,146.4281497828518,147.4620281658678,7840500
2021-07-13,147.06243896484375,147.48814438882516,146.54115132527608,146.8017951450599,4691200
2021-07-14,148.06153869628906,148.41775142798295,146.86258523687724,147.69664269927102,6162900
2021-07-15,146.28045654296875,147.6097249781787,145.71573951092452,147.08845077711268,6656900
2021-07-16,146.04595947265625,146.90606695866563,145.91563091693865,146.254463950769,5834900
2021-07-19,144.98597717285156,146.12410798882402,143.63064541468913,144.63844771121154,8219700
2021-07-20,146.3499755859375,148.40035277777486,144.95120114671508,145.00332724582157,9902800
2021-07-21,147.2535400390625,147.42729812314528,145.50723616326667,147.08846521927165,7585200
