Date,Open,Close,High,Low,Volume
2019-01-02,20.102191620574477,20.836822509765625,20.98708831698613,20.043755271604525,71836300
2019-01-03,20.820121525199422,20.502893447875977,20.903602681982992,20.411065608457616,66599600
2019-01-04,20.953689207521943,21.35439682006836,21.41283314786423,20.895252879726073,83829100
2019-01-07,21.33770179748535,21.33770179748535,21.521360660573396,21.112304744477353,57016300
2019-01-08,21.471264601550384,21.295955657958984,21.529702508351,20.945336178506032,67339400
2019-01-09,21.42953248858028,21.50466537475586,21.579798260931444,21.195785554670607,69707200
2019-01-10,21.33770248664792,21.4796199798584,21.52136135566776,21.220829818923065,65235800
2019-01-11,21.312658298964728,21.73006248474121,21.738410759529213,21.25422037544871,63476000
2019-01-14,21.51301720435187,22.01390266418457,22.105730524026363,21.379447960699277,76715400
2019-01-15,21.88032859064687,22.16416358947754,22.381213976363977,21.746759366758408,80625500
2019-01-16,23.483161315958387,23.750301361083984,23.975698435511003,23.25776424153137,163131700
2019-01-17,23.658468569183068,24.201093673706055,24.209441948208937,23.449766483422646,107428800
2019-01-18,24.226139318630757,24.459884643554688,24.59345385558854,23.967347577078392,97928200
2019-01-22,24.192741282335135,24.284570693969727,24.459879651886368,24.117608416865064,84861400
2019-01-23,24.39310010887076,24.142658233642578,24.44318975773289,23.89221635841439,79425900
2019-01-24,24.000743131364047,24.276229858398438,24.376407573806745,23.992394855724122,59492300
2019-01-25,24.443192133631776,24.693634033203125,24.810506707366983,24.32631786719715,72182100
2019-01-28,24.47658426888197,24.735374450683594,24.768767554023576,24.45154103364779,59963800
2019-01-29,24.66023954046124,24.535017013549805,24.79380874971424,24.493277232759706,51451900
2019-01-30,24.560064669467387,24.267881393432617,24.601804455070603,24.1677052710766,66475800
2019-01-31,24.00074140056741,23.76699447631836,24.075874283637795,23.357938553085518,100201200
2019-02-01,23.875520976592934,23.691862106323242,24.07587480502931,23.633425772063138,64244100
2019-02-04,23.766994958976756,24.10926628112793,24.18439916572411,23.725255175210297,55195900
2019-02-05,24.08422177726563,24.025785446166992,24.10926500929613,23.850474860600475,46622600
2019-02-06,23.933960777088366,23.98404884338379,24.12596635811326,23.82543636806979,35606900
2019-02-07,23.825430869721533,23.574987411499023,23.908910430191817,23.29115244754251,62289200
2019-02-08,23.49985358296032,23.616727828979492,23.641771059199645,23.257760001299403,50031300
2019-02-11,23.65847687350533,23.7169132232666,23.758653018161482,23.549950859144865,47724400
2019-02-12,23.89221674382735,23.950653076171875,24.092570565695993,23.85882364404726,49178100
2019-02-13,24.100922869080414,23.95900535583496,24.20109900062373,23.925612250473254,48951200
2019-02-14,23.675167337703197,23.700210571289062,23.892217718314676,23.46646523237724,47756600
2019-02-15,24.009088199320914,24.301271438598633,24.46823215227836,23.933955320870343,65867000
2019-02-19,24.151009535556682,24.317970275878906,24.426496269745623,24.000743754677114,40841300
2019-02-20,24.292920021086676,24.55171012878418,24.5851032225621,24.2177871523567,42806300
2019-02-21,24.484931502934568,24.451539993286133,24.58510921642135,24.301274219191324,42754100
