Date,Close,High,Low,Open,Volume
2021-01-04,109.49156951904297,111.22262524867816,108.54339884647756,110.90946857119269,16819900
2021-01-05,110.08733367919922,110.65682778188479,108.44018109392785,109.50907627770478,13731200
2021-01-06,115.25657653808594,116.32547171717007,112.04112770206311,113.79341981203267,24909100
2021-01-07,119.04150390625,121.07416137937578,118.20917101827456,118.8838046379264,21940400
2021-01-08,119.1729736328125,119.46210242472375,117.50829392503994,119.12916380939302,12035100
2021-01-11,120.95152282714844,121.08293890678272,117.49951786737961,117.91130607540558,15937900
2021-01-12,122.852783203125,124.11443137175968,121.63494486207283,122.16939267326161,18033500
2021-01-13,122.96662902832031,123.35212057309587,120.99530802168168,121.42460937371334,14816800
2021-01-14,123.68505096435547,125.06935789594515,122.65996571231048,123.08928040509868,18565600
2021-01-15,121.46842956542969,124.10561441363757,120.04031261382214,120.40829096225505,27881000
2021-01-19,120.9427261352539,123.27326880456874,120.74998705064512,122.53731218337751,19843800
2021-01-20,119.12914276123047,121.05665433119808,118.66478812656624,120.75001235920253,16028800
2021-01-21,118.13033294677734,119.29560445155104,117.68350494058147,118.88381627434238,13411700
2021-01-22,117.21915435791016,117.75360206918477,115.82609033584154,116.25540517567849,12933200
2021-01-25,115.7559814453125,116.67593405104029,113.95112943212206,115.77350804444507,14212800
2021-01-26,115.28288269042969,116.67594667240628,115.07260358472624,116.30796826408489,11307800
2021-01-27,112.02361297607422,113.76714186800528,111.5767783002309,113.53933619605681,17603900
2021-01-28,113.99494934082031,115.79980151384709,113.0136736045446,113.810953455829,13761800
2021-01-29,112.7332992553711,115.40553762994654,112.31275442935103,114.94118298751462,14808100
2021-02-01,113.56562042236328,113.95989535998334,112.56681820940614,113.37286794539983,11080700
2021-02-02,117.06141662597656,117.74480680376203,114.96743628760817,115.59826004692944,12253600
2021-02-03,118.40192413330078,118.94512833013219,116.97380725196787,117.0964666954097,10600800
2021-02-04,121.12673950195312,121.48596125077894,118.69106363970619,118.69106363970619,12419500
2021-02-05,120.89021301269531,122.21319756023884,120.36453520960356,122.12557790861595,10051300
2021-02-08,122.78263854980469,122.92282459159848,121.06539296002255,121.08291955746597,10136400
2021-02-09,122.29203796386719,122.64248980605436,121.38084178397119,122.16060849638637,8614800
2021-02-10,122.36211395263672,123.4222393172772,121.81889629340903,122.65999931386801,10323200
